Tiempo_min,Voltaje_V,Corriente_A,mAh_Consumidos


100.61,7.06,0.65,1290.73


100.63,7.04,0.75,1290.95


100.64,7.06,0.70,1291.14


100.66,7.06,0.86,1291.39


100.68,7.06,0.75,1291.60


100.69,7.06,0.75,1291.81


100.71,7.06,0.83,1292.05


100.73,7.06,0.83,1292.28


100.74,7.05,0.75,1292.49


100.76,7.04,0.81,1292.72


100.78,7.04,0.65,1292.90


100.79,7.06,0.75,1293.12


100.81,7.04,0.75,1293.33


100.83,7.06,0.78,1293.55


100.85,7.06,0.70,1293.75


100.86,7.05,0.78,1293.97


100.88,7.04,0.73,1294.17


100.90,7.04,0.75,1294.38


100.91,7.05,0.65,1294.57


100.93,7.05,0.70,1294.76


100.95,7.06,0.62,1294.94


100.96,7.06,0.73,1295.14


100.98,7.05,0.70,1295.34


101.00,7.06,0.83,1295.58


101.01,7.06,0.81,1295.81


101.03,7.07,0.89,1296.05


101.05,7.06,0.89,1296.30


101.07,7.07,0.70,1296.50


101.08,7.07,0.70,1296.70


101.10,7.05,0.89,1296.95


101.12,7.05,0.70,1297.15


101.13,7.05,0.81,1297.38


101.15,7.05,0.83,1297.61


101.17,7.05,0.75,1297.82


101.18,7.03,0.60,1297.99


101.20,7.05,0.60,1298.16


101.22,7.05,0.70,1298.36


101.23,7.03,0.73,1298.56


101.25,7.05,0.67,1298.75


101.27,7.04,0.67,1298.94


101.29,7.05,0.75,1299.15


101.30,7.05,0.62,1299.33


101.32,7.08,0.70,1299.53


101.34,7.04,0.86,1299.77


101.35,7.06,0.73,1299.97


101.37,7.03,0.78,1300.20


101.39,7.05,0.81,1300.42


101.40,7.05,0.81,1300.65


101.42,7.06,0.75,1300.86


101.44,7.05,0.81,1301.09


101.45,7.06,0.75,1301.30


101.47,7.04,0.70,1301.50


101.49,7.06,0.73,1301.71


101.51,7.06,0.78,1301.93


101.52,7.07,0.75,1302.14


101.54,7.08,0.75,1302.35


101.56,7.06,0.83,1302.59


101.57,7.04,0.91,1302.84


101.59,7.06,0.73,1303.05


101.61,7.06,0.78,1303.27


101.62,7.06,0.75,1303.48


101.64,7.05,0.65,1303.66


101.66,7.06,0.75,1303.88


101.67,7.04,0.75,1304.09


101.69,7.06,0.73,1304.29


101.71,7.06,0.91,1304.55


101.73,7.05,0.81,1304.78


101.74,7.05,0.78,1305.00


101.76,7.05,0.75,1305.21


101.78,7.05,0.65,1305.39


101.79,7.05,0.73,1305.60


101.81,7.06,0.94,1305.86


101.83,7.05,0.78,1306.08


101.84,7.04,0.60,1306.25


101.86,7.04,0.57,1306.41


101.88,7.04,0.81,1306.64


101.89,7.03,0.78,1306.86


101.91,7.04,0.75,1307.07


101.93,7.04,0.81,1307.30


101.95,7.06,0.70,1307.50


101.96,7.03,0.78,1307.72


101.98,7.04,0.89,1307.97


102.00,7.04,0.83,1308.20


102.01,7.05,0.75,1308.42


102.03,7.04,0.70,1308.61


102.05,7.04,0.83,1308.85


102.06,7.06,0.67,1309.04


102.08,7.05,0.78,1309.26


102.10,7.06,0.83,1309.49


102.12,7.05,0.70,1309.69


102.13,7.05,0.73,1309.90


102.15,7.05,0.78,1310.12


102.17,7.04,0.65,1310.30


102.18,7.04,0.65,1310.48


102.20,7.05,0.83,1310.72


102.22,7.05,0.70,1310.92


102.23,7.06,0.81,1311.14


102.25,7.06,0.83,1311.38


102.27,7.05,0.70,1311.58


102.28,7.04,0.65,1311.76


102.30,7.05,0.73,1311.96


102.32,7.06,0.73,1312.17


102.34,7.06,0.70,1312.37


102.35,7.04,0.75,1312.58


102.37,7.03,0.65,1312.76


102.39,7.05,0.67,1312.95


102.40,7.04,0.75,1313.16


102.42,7.04,0.86,1313.41


102.44,7.04,0.65,1313.59


102.45,7.05,0.73,1313.79


102.47,7.04,0.81,1314.02


102.49,7.04,0.81,1314.25


102.50,7.05,0.83,1314.48


102.52,7.06,0.60,1314.65


102.54,7.05,0.86,1314.90


102.56,7.06,0.73,1315.10


102.57,7.06,0.75,1315.31


102.59,7.06,0.81,1315.54


102.61,7.04,0.73,1315.75


102.62,7.02,0.75,1315.96


102.64,7.04,0.73,1316.16


102.66,7.04,0.70,1316.36


102.67,7.04,0.75,1316.57


102.69,7.04,0.81,1316.80


102.71,7.04,0.83,1317.04


102.72,7.03,0.83,1317.27


102.74,7.04,0.70,1317.47


102.76,7.05,0.78,1317.69


102.78,7.05,0.70,1317.89


102.79,7.04,0.86,1318.13


102.81,7.04,0.70,1318.33


102.83,7.03,0.75,1318.54


102.84,7.05,0.81,1318.77


102.86,7.04,0.75,1318.98


102.88,7.05,0.75,1319.19


102.89,7.04,0.70,1319.39


102.91,7.04,0.78,1319.61


102.93,7.03,0.86,1319.85


102.94,7.04,0.65,1320.04


102.96,7.03,0.78,1320.26


102.98,7.04,0.67,1320.45


103.00,7.04,0.73,1320.65


103.01,7.03,0.60,1320.82


103.03,7.05,0.81,1321.05


103.05,7.04,0.94,1321.31


103.06,7.04,0.78,1321.53


103.08,7.05,0.65,1321.71


103.10,7.04,0.89,1321.96


103.11,7.02,0.65,1322.15


103.13,7.03,0.75,1322.36


103.15,7.04,0.89,1322.61


103.16,7.04,0.67,1322.80


103.18,7.04,0.75,1323.01


103.20,7.04,0.65,1323.19


103.22,7.05,0.73,1323.40


103.23,7.06,0.75,1323.61


103.25,7.03,0.78,1323.83


103.27,7.04,0.83,1324.07


103.28,7.03,0.73,1324.27


103.30,7.04,0.86,1324.51


103.32,7.05,0.73,1324.72


103.33,7.03,0.67,1324.91


103.35,7.04,0.75,1325.12


103.37,7.04,0.65,1325.31


103.38,7.04,0.86,1325.55


103.40,7.03,0.70,1325.75


103.42,7.03,0.89,1326.00


103.44,7.04,0.78,1326.22


103.45,7.04,0.89,1326.47


103.47,7.03,0.75,1326.68


103.49,7.02,0.62,1326.85


103.50,7.03,0.83,1327.09


103.52,7.03,0.75,1327.30


103.54,7.02,0.89,1327.55


103.55,7.05,0.75,1327.76


103.57,7.01,0.75,1327.98


103.59,7.03,0.67,1328.17


103.60,7.04,0.75,1328.38


103.62,7.05,0.65,1328.56


103.64,7.03,0.81,1328.79


103.66,7.04,0.86,1329.03


103.67,7.03,0.65,1329.21


103.69,7.04,0.83,1329.45


103.71,7.05,0.78,1329.67


103.72,7.04,0.81,1329.90


103.74,7.05,0.75,1330.11


103.76,7.03,0.73,1330.32


103.77,7.06,0.73,1330.52


103.79,7.04,0.78,1330.74


103.81,7.02,0.83,1330.98


103.82,7.04,0.75,1331.19


103.84,7.02,0.62,1331.36


103.86,7.05,0.78,1331.58


103.88,7.03,0.70,1331.78


103.89,7.04,0.75,1331.99


103.91,7.04,0.75,1332.21


103.93,7.04,0.70,1332.40


103.94,7.02,0.86,1332.65


103.96,7.03,0.60,1332.81


103.98,7.04,0.70,1333.01


103.99,7.03,0.75,1333.22


104.01,7.04,0.70,1333.42


104.03,7.03,0.86,1333.66


104.04,7.02,0.86,1333.91


104.06,7.05,0.73,1334.11


104.08,7.04,0.70,1334.31


104.10,7.05,0.67,1334.50


104.11,7.04,0.75,1334.71


104.13,7.02,0.81,1334.94


104.15,7.02,0.75,1335.15


104.16,7.02,0.91,1335.41


104.18,7.04,0.60,1335.58


104.20,7.01,0.81,1335.81


104.21,7.03,0.62,1335.98


104.23,7.04,0.81,1336.21


104.25,7.02,0.81,1336.44


104.26,7.01,0.67,1336.63


104.28,7.02,0.81,1336.85


104.30,7.01,0.75,1337.07


104.32,7.03,0.75,1337.28


104.33,7.02,0.78,1337.50


104.35,7.03,0.67,1337.69


104.37,7.03,0.75,1337.90


104.38,7.02,0.89,1338.15


104.40,7.02,0.67,1338.34


104.42,7.04,0.73,1338.55


104.43,7.03,0.81,1338.77


104.45,7.03,0.73,1338.98


104.47,7.06,0.89,1339.23


104.48,7.05,0.78,1339.45


104.50,7.04,0.60,1339.62


104.52,7.02,0.78,1339.84


104.54,7.01,0.75,1340.05


104.55,7.06,0.75,1340.26


104.57,7.04,0.83,1340.50


104.59,7.03,0.81,1340.73


104.60,7.03,0.62,1340.90


104.62,7.04,0.62,1341.08


104.64,7.04,0.81,1341.30


104.65,7.02,0.78,1341.52


104.67,7.03,0.78,1341.74


104.69,7.01,0.73,1341.95


104.70,7.05,0.78,1342.17


104.72,7.03,0.83,1342.40


104.74,7.03,0.60,1342.57


104.76,7.03,0.73,1342.78


104.77,7.02,0.60,1342.94


104.79,7.03,0.78,1343.16


104.81,7.02,0.86,1343.41


104.82,7.04,0.73,1343.61


104.84,7.02,0.86,1343.85


104.86,7.06,0.65,1344.04


104.87,7.03,0.73,1344.24


104.89,7.03,0.81,1344.47


104.91,7.03,0.86,1344.71


104.92,7.03,0.75,1344.92


104.94,7.02,0.81,1345.15


104.96,7.02,0.67,1345.34


104.98,7.03,0.83,1345.58


104.99,7.03,0.73,1345.78


105.01,7.02,0.70,1345.98


105.03,7.01,0.73,1346.19


105.04,7.02,0.70,1346.38


105.06,7.03,0.83,1346.62


105.08,7.04,0.73,1346.82


105.09,7.02,0.81,1347.05


105.11,7.04,0.83,1347.29


105.13,7.03,0.62,1347.46


105.14,7.04,0.75,1347.67


105.16,7.02,0.67,1347.86


105.18,7.02,0.78,1348.08


105.20,7.03,0.91,1348.34


105.21,7.02,0.75,1348.55


105.23,7.03,0.62,1348.73


105.25,7.02,0.73,1348.93


105.26,7.03,0.81,1349.16


105.28,7.03,0.70,1349.36


105.30,7.03,0.81,1349.59


105.31,7.03,0.70,1349.79


105.33,7.03,0.78,1350.01


105.35,7.03,0.83,1350.24


105.36,7.02,0.83,1350.47


105.38,7.01,0.96,1350.75


105.40,7.02,0.67,1350.94


105.42,7.03,0.70,1351.14


105.43,7.02,0.91,1351.39


105.45,7.02,0.81,1351.62


105.47,7.04,0.75,1351.83


105.48,7.02,0.75,1352.05


105.50,7.04,0.75,1352.26


105.52,7.04,0.65,1352.44


105.53,7.03,0.75,1352.65


105.55,7.01,0.75,1352.87


105.57,7.01,0.83,1353.10


105.58,7.02,0.78,1353.32


105.60,7.01,0.96,1353.59


105.62,7.04,0.75,1353.81


105.64,7.02,0.78,1354.03


105.65,7.04,0.67,1354.22


105.67,7.02,0.73,1354.42


105.69,7.03,0.81,1354.65


105.70,7.04,0.67,1354.84


105.72,7.02,0.78,1355.06


105.74,7.01,0.75,1355.27


105.75,7.02,0.62,1355.45


105.77,7.04,0.65,1355.63


105.79,7.02,0.83,1355.87


105.80,7.04,0.86,1356.11


105.82,7.04,0.60,1356.28


105.84,7.04,0.78,1356.50


105.86,7.03,0.81,1356.72


105.87,7.05,0.70,1356.92


105.89,7.04,0.73,1357.13


105.91,7.02,0.75,1357.34


105.92,7.03,0.89,1357.59


105.94,7.02,0.60,1357.76


105.96,7.02,0.86,1358.00


105.97,7.02,0.81,1358.23


105.99,7.02,0.67,1358.42


106.01,7.02,0.73,1358.62


106.02,7.02,0.75,1358.83


106.04,7.03,0.75,1359.05


106.06,7.02,0.75,1359.26


106.08,7.02,0.86,1359.50


106.09,7.03,0.83,1359.74


106.11,7.02,0.83,1359.97


106.13,7.04,0.70,1360.17


106.14,7.03,0.67,1360.36


106.16,7.02,0.62,1360.54


106.18,7.04,0.78,1360.76


106.19,7.03,0.81,1360.98


106.21,7.03,0.94,1361.25


106.23,7.04,0.78,1361.47


106.24,7.02,0.73,1361.67


106.26,7.02,0.86,1361.92


106.28,7.02,0.73,1362.12


106.30,7.01,0.73,1362.33


106.31,7.03,0.91,1362.58


106.33,7.02,0.81,1362.81


106.35,7.02,0.83,1363.05


106.36,7.03,0.81,1363.27


106.38,7.02,0.70,1363.47


106.40,7.02,0.73,1363.68


106.41,7.03,0.81,1363.90


106.43,7.02,0.78,1364.12


106.45,7.03,0.86,1364.37


106.46,7.04,0.73,1364.57


106.48,7.04,0.67,1364.76


106.50,7.03,0.70,1364.96


106.52,7.01,0.73,1365.16


106.53,7.03,0.73,1365.37


106.55,7.03,0.73,1365.57


106.57,7.00,0.81,1365.80


106.58,7.02,0.78,1366.02


106.60,7.03,0.83,1366.26


106.62,7.02,0.65,1366.44


106.63,7.01,0.78,1366.66


106.65,7.03,0.70,1366.86


106.67,7.01,0.73,1367.06


106.68,7.02,0.75,1367.28


106.70,7.01,0.73,1367.48


106.72,7.02,0.78,1367.70


106.74,7.02,0.57,1367.86


106.75,7.03,0.75,1368.07


106.77,7.00,0.67,1368.26


106.79,7.02,0.57,1368.43


106.80,7.02,0.86,1368.67


106.82,7.03,0.67,1368.86


106.84,7.03,0.67,1369.05


106.85,7.02,0.65,1369.23


106.87,7.03,0.75,1369.44


106.89,7.02,0.67,1369.63


106.90,7.02,0.67,1369.82


106.92,7.02,0.65,1370.01


106.94,7.02,0.81,1370.23


106.96,7.02,0.75,1370.45


106.97,7.02,0.81,1370.67


106.99,7.03,0.70,1370.87


107.01,7.03,0.65,1371.05


107.02,7.02,0.83,1371.29


107.04,7.02,0.89,1371.54


107.06,7.02,0.81,1371.77


107.07,7.02,0.75,1371.98


107.09,7.01,0.75,1372.19


107.11,7.03,0.86,1372.43


107.12,7.02,0.70,1372.63


107.14,7.01,0.81,1372.86


107.16,7.01,0.75,1373.07


107.18,7.02,0.67,1373.26


107.19,7.02,0.70,1373.46


107.21,7.02,0.73,1373.67


107.23,7.02,0.67,1373.86


107.24,7.02,0.89,1374.11


107.26,7.01,0.73,1374.31


107.28,7.02,0.78,1374.53


107.29,7.02,0.89,1374.78


107.31,7.01,0.70,1374.98


107.33,7.03,0.86,1375.22


107.34,7.02,0.62,1375.40


107.36,7.02,0.75,1375.61


107.38,7.03,0.75,1375.82


107.40,7.01,0.73,1376.03


107.41,7.03,0.73,1376.23


107.43,7.02,0.81,1376.46


107.45,7.02,0.81,1376.69


107.46,7.01,0.73,1376.89


107.48,7.02,0.81,1377.12


107.50,7.02,0.75,1377.33


107.51,7.02,0.78,1377.55


107.53,7.02,0.83,1377.79


107.55,7.03,0.73,1377.99


107.56,7.02,0.83,1378.23


107.58,7.03,0.75,1378.44


107.60,7.01,0.83,1378.67


107.62,7.02,0.75,1378.89


107.63,7.01,0.73,1379.09


107.65,7.02,0.78,1379.31


107.67,7.02,0.70,1379.51


107.68,7.01,0.67,1379.70


107.70,7.01,0.73,1379.91


107.72,7.03,0.83,1380.14


107.73,7.01,0.65,1380.32


107.75,7.01,0.83,1380.56


107.77,7.02,0.75,1380.77


107.78,7.00,0.78,1380.99


107.80,7.03,0.73,1381.20


107.82,7.01,0.86,1381.44


107.84,7.04,0.83,1381.67


107.85,7.02,0.83,1381.91


107.87,7.00,0.83,1382.14


107.89,7.00,0.78,1382.36


107.90,7.03,0.73,1382.57


107.92,7.03,0.78,1382.79


107.94,7.02,0.70,1382.99


107.95,7.02,0.86,1383.23


107.97,7.01,0.67,1383.42


107.99,7.02,0.70,1383.62


108.00,7.02,0.62,1383.79


108.02,7.03,0.83,1384.03


108.04,7.00,0.78,1384.25


108.06,7.00,0.86,1384.49


108.07,7.04,0.60,1384.66


108.09,7.00,0.67,1384.85


108.11,7.01,0.81,1385.07


108.12,7.02,0.75,1385.29


108.14,7.01,0.57,1385.45


108.16,7.00,0.75,1385.66


108.17,7.00,0.81,1385.89


108.19,7.02,0.75,1386.10


108.21,7.03,0.67,1386.29


108.22,7.00,0.94,1386.56


108.24,7.02,0.86,1386.80


108.26,7.00,0.83,1387.03


108.28,7.00,0.78,1387.25


108.29,7.00,0.75,1387.47


108.31,7.03,0.73,1387.67


108.33,7.00,0.73,1387.88


108.34,7.00,0.73,1388.08


108.36,7.02,0.75,1388.29


108.38,7.02,0.70,1388.49


108.39,7.01,0.73,1388.70


108.41,7.01,0.65,1388.88


108.43,7.01,0.62,1389.05


108.44,7.01,0.78,1389.27


108.46,7.00,0.89,1389.52


108.48,7.00,0.81,1389.75


108.50,7.00,0.73,1389.96


108.51,7.02,0.62,1390.13


108.53,7.00,0.75,1390.35


108.55,7.01,0.81,1390.57


108.56,7.01,0.83,1390.81


108.58,7.01,0.81,1391.04


108.60,7.00,0.81,1391.26


108.61,7.00,0.67,1391.45


108.63,7.02,0.67,1391.64


108.65,7.01,0.81,1391.87


108.66,7.01,0.81,1392.10


108.68,7.02,0.86,1392.34


108.70,7.01,0.70,1392.54


108.72,7.01,0.86,1392.78


108.73,7.00,0.94,1393.05


108.75,7.00,0.62,1393.22


108.77,7.02,0.81,1393.45


108.78,7.02,0.67,1393.64


108.80,7.00,0.78,1393.86


108.82,7.01,0.73,1394.06


108.83,7.00,0.83,1394.30


108.85,7.02,0.78,1394.52


108.87,7.02,0.73,1394.72


108.88,7.01,0.70,1394.92


108.90,7.00,0.83,1395.16


108.92,7.01,0.75,1395.37


108.94,7.01,0.65,1395.55


108.95,7.01,0.67,1395.74


108.97,6.99,0.70,1395.94


108.99,7.00,0.81,1396.17


109.00,7.00,0.73,1396.37


109.02,7.01,0.57,1396.53


109.04,7.03,0.73,1396.74


109.05,7.02,0.67,1396.93


109.07,7.02,0.75,1397.14


109.09,7.02,0.86,1397.38


109.10,7.00,0.81,1397.61


109.12,7.01,0.86,1397.85


109.14,7.01,0.83,1398.09


109.16,7.01,0.70,1398.29


109.17,7.00,0.75,1398.50


109.19,7.00,0.86,1398.74


109.21,7.01,0.78,1398.96


109.22,7.02,0.86,1399.20


109.24,7.02,0.62,1399.38


109.26,7.00,0.81,1399.61


109.27,7.01,0.81,1399.83


109.29,7.01,0.83,1400.07


109.31,7.01,0.75,1400.28


109.32,7.01,0.60,1400.45


109.34,7.00,0.73,1400.65


109.36,7.01,0.75,1400.87


109.38,7.01,0.86,1401.11


109.39,7.02,0.86,1401.35


109.41,7.00,0.67,1401.54


109.43,7.02,0.81,1401.77


109.44,7.01,0.81,1402.00


109.46,7.02,0.70,1402.19


109.48,7.02,0.83,1402.43


109.49,7.02,0.73,1402.63


109.51,6.99,0.75,1402.85


109.53,7.00,0.78,1403.07


109.54,7.01,0.65,1403.25


109.56,7.01,0.73,1403.45


109.58,7.00,0.70,1403.65


109.60,7.02,0.83,1403.89


109.61,6.98,0.81,1404.12


109.63,7.01,0.75,1404.33


109.65,7.01,0.83,1404.56


109.66,7.02,0.73,1404.77


109.68,6.99,0.89,1405.02


109.70,7.01,0.41,1405.13


109.71,6.99,0.78,1405.35


109.73,7.00,0.73,1405.56


109.75,7.01,0.73,1405.76


109.77,6.99,0.81,1405.99


109.78,7.02,0.81,1406.22


109.80,7.00,0.78,1406.44


109.82,7.00,0.91,1406.70


109.83,6.99,0.75,1406.91


109.85,6.99,0.81,1407.14


109.87,7.01,0.67,1407.33


109.88,7.02,0.70,1407.52


109.90,7.00,0.67,1407.71


109.92,7.01,0.75,1407.93


109.93,6.99,0.70,1408.12


109.95,7.01,0.73,1408.33


109.97,6.99,0.78,1408.55


109.99,7.02,0.73,1408.76


110.00,7.01,0.73,1408.96


110.02,7.00,0.75,1409.17


110.04,7.00,0.78,1409.39


110.05,7.00,0.62,1409.57


110.07,7.00,0.70,1409.77


110.09,7.01,0.70,1409.96


110.10,7.00,0.70,1410.16


110.12,7.00,0.60,1410.33


110.14,7.01,0.78,1410.55


110.15,6.99,0.89,1410.80


110.17,7.01,0.89,1411.05


110.19,7.03,0.83,1411.28


110.21,7.00,0.70,1411.48


110.22,7.00,0.86,1411.72


110.24,7.00,0.81,1411.95


110.26,7.01,0.73,1412.16


110.27,7.01,0.81,1412.39


110.29,7.02,0.86,1412.63


110.31,7.00,0.78,1412.85


110.32,7.02,0.75,1413.06


110.34,6.98,0.73,1413.27


110.36,7.01,0.94,1413.53


110.37,7.00,0.75,1413.74


110.39,7.00,0.86,1413.98


110.41,6.98,0.89,1414.23


110.43,7.00,0.81,1414.46


110.44,7.00,0.70,1414.66


110.46,7.00,0.75,1414.87


110.48,7.00,0.78,1415.09


110.49,7.00,0.73,1415.30


110.51,7.00,0.65,1415.48


110.53,7.00,0.70,1415.68


110.54,6.99,0.91,1415.94


110.56,6.99,0.73,1416.14


110.58,7.01,0.81,1416.37


110.59,7.00,0.73,1416.57


110.61,7.01,0.86,1416.82


110.63,7.01,0.67,1417.01


110.65,6.99,0.62,1417.18


110.66,7.00,0.70,1417.38


110.68,7.01,0.81,1417.61


110.70,6.99,0.75,1417.82


110.71,7.00,0.89,1418.07


110.73,6.99,0.65,1418.25


110.75,7.00,0.70,1418.45


110.76,7.00,0.83,1418.69


110.78,7.00,0.73,1418.89


110.80,6.98,0.70,1419.09


110.81,6.99,0.67,1419.28


110.83,7.00,0.67,1419.47


110.85,7.00,0.86,1419.71


110.87,7.00,0.65,1419.89


110.88,7.02,0.73,1420.10


110.90,7.00,0.75,1420.31


110.92,7.02,0.78,1420.53


110.93,7.00,0.83,1420.77


110.95,7.00,0.70,1420.97


110.97,7.02,0.57,1421.13


110.98,6.98,0.81,1421.35


111.00,7.01,0.83,1421.59


111.02,7.01,0.81,1421.82


111.03,6.99,0.67,1422.01


111.05,7.00,0.75,1422.22


111.07,6.99,0.83,1422.45


111.09,7.00,0.81,1422.68


111.10,6.99,0.81,1422.91


111.12,7.00,0.65,1423.09


111.14,6.98,0.67,1423.28


111.15,7.00,0.67,1423.47


111.17,6.99,0.81,1423.70


111.19,7.00,0.70,1423.90


111.20,6.98,0.78,1424.12


111.22,7.00,0.86,1424.36


111.24,7.00,0.75,1424.57


111.25,7.00,0.86,1424.81


111.27,7.00,0.99,1425.09


111.29,6.97,0.89,1425.34


111.31,6.99,0.75,1425.56


111.32,7.02,0.94,1425.82


111.34,7.00,0.78,1426.04


111.36,7.00,0.60,1426.21


111.37,7.00,0.62,1426.38


111.39,7.00,0.73,1426.59


111.41,7.02,0.67,1426.78


111.42,6.98,0.91,1427.04


111.44,7.01,0.67,1427.23


111.46,7.01,0.78,1427.45


111.47,6.98,0.81,1427.67


111.49,7.01,0.65,1427.86


111.51,6.99,0.65,1428.04


111.53,7.00,0.67,1428.23


111.54,7.00,0.91,1428.49


111.56,7.02,0.86,1428.73


111.58,7.00,0.65,1428.91


111.59,6.98,0.78,1429.13


111.61,7.00,0.67,1429.32


111.63,7.00,0.75,1429.54


111.64,7.00,0.81,1429.76


111.66,7.01,0.91,1430.02


111.68,6.98,0.75,1430.23


111.69,7.02,0.78,1430.45


111.71,7.02,0.67,1430.64


111.73,6.98,0.78,1430.86


111.75,6.99,0.83,1431.10


111.76,7.00,0.73,1431.30


111.78,7.00,0.81,1431.53


111.80,7.00,0.62,1431.71


111.81,7.01,0.62,1431.88


111.83,6.99,0.65,1432.06


111.85,6.99,0.70,1432.26


111.86,6.96,0.62,1432.44


111.88,6.97,0.52,1432.58


111.90,7.01,0.78,1432.80


111.91,7.01,0.81,1433.03


111.93,7.00,0.83,1433.27


111.95,7.00,0.65,1433.45


111.97,6.98,0.78,1433.67


111.98,6.99,0.81,1433.90


112.00,7.00,0.81,1434.12


112.02,7.00,0.73,1434.33


112.03,6.98,0.75,1434.54


112.05,7.00,0.52,1434.69


112.07,6.99,0.67,1434.88


112.08,6.99,0.73,1435.08


112.10,7.00,0.67,1435.27


112.12,6.98,0.62,1435.45


112.13,7.00,0.65,1435.63


112.15,7.00,0.67,1435.82


112.17,7.01,0.73,1436.03


112.19,7.01,0.78,1436.25


112.20,6.99,0.78,1436.47


112.22,6.99,0.86,1436.71


112.24,6.99,0.75,1436.92


112.25,7.02,0.83,1437.16


112.27,6.97,0.81,1437.38


112.29,6.99,0.73,1437.59


112.30,7.00,0.86,1437.83


112.32,7.00,0.78,1438.05


112.34,6.98,0.78,1438.27


112.35,7.00,0.81,1438.50


112.37,6.99,0.86,1438.74


112.39,6.98,0.67,1438.93


112.41,7.00,0.70,1439.13


112.42,6.99,0.67,1439.32


112.44,7.00,0.62,1439.49


112.46,6.99,0.70,1439.69


112.47,7.01,0.81,1439.92


112.49,6.99,0.83,1440.16


112.51,7.00,0.73,1440.36


112.52,7.01,0.78,1440.58


112.54,7.01,0.67,1440.77


112.56,7.00,0.86,1441.01


112.57,7.00,0.67,1441.20


112.59,6.98,0.83,1441.44


112.61,6.99,0.89,1441.69


112.63,7.00,0.75,1441.90


112.64,6.98,0.78,1442.12


112.66,6.97,0.65,1442.30


112.68,6.97,0.70,1442.50


112.69,6.99,0.57,1442.66


112.71,6.99,0.75,1442.88


112.73,6.99,0.65,1443.06


112.74,6.99,0.78,1443.28


112.76,7.00,0.89,1443.53


112.78,7.00,0.75,1443.74


112.79,7.00,0.78,1443.96


112.81,7.00,0.81,1444.19


112.83,6.98,0.60,1444.36


112.85,6.99,0.67,1444.55


112.86,7.00,0.73,1444.75


112.88,6.98,0.75,1444.97


112.90,7.00,0.70,1445.16


112.91,6.98,0.67,1445.35


112.93,7.00,0.81,1445.58


112.95,7.00,0.81,1445.81


112.96,6.98,0.83,1446.04


112.98,7.00,0.67,1446.23


113.00,6.99,0.62,1446.41


113.01,6.96,0.70,1446.61


113.03,6.99,0.73,1446.81


